   near   middle   far
       74.111       42.869       52.702
        62.09       57.572       63.012
       35.185       23.945       29.044
       44.422        42.91       31.577
       44.369       42.727       29.043
        17.19       37.587       29.879
       61.606       55.741       53.828
       23.278       26.075       32.593
